id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kelompok_umur,jenis_kelamin,jumlah_penduduk,satuan,tahun
161,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,00 - 04,LAKI-LAKI,70866,JIWA,2020
162,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,00 - 04,PEREMPUAN,66464,JIWA,2020
163,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,05 - 09,LAKI-LAKI,80304,JIWA,2020
164,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,05 - 09,PEREMPUAN,74966,JIWA,2020
165,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,10 - 14,LAKI-LAKI,81581,JIWA,2020
166,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,10 - 14,PEREMPUAN,77226,JIWA,2020
167,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,15 - 19,LAKI-LAKI,68875,JIWA,2020
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,15 - 19,PEREMPUAN,67281,JIWA,2020
169,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,20 - 24,LAKI-LAKI,81604,JIWA,2020
170,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,20 - 24,PEREMPUAN,75704,JIWA,2020
171,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,25 - 29,LAKI-LAKI,72264,JIWA,2020
172,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,25 - 29,PEREMPUAN,67446,JIWA,2020
173,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,30 - 34,LAKI-LAKI,62139,JIWA,2020
174,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,30 - 34,PEREMPUAN,59526,JIWA,2020
175,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,35 - 39,LAKI-LAKI,67491,JIWA,2020
176,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,35 - 39,PEREMPUAN,65667,JIWA,2020
177,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,40 - 44,LAKI-LAKI,61577,JIWA,2020
178,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,40 - 44,PEREMPUAN,60577,JIWA,2020
179,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,45 - 49,LAKI-LAKI,61712,JIWA,2020
180,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,45 - 49,PEREMPUAN,63417,JIWA,2020
181,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,50 - 54,LAKI-LAKI,57232,JIWA,2020
182,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,50 - 54,PEREMPUAN,56347,JIWA,2020
183,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,55 - 59,LAKI-LAKI,49816,JIWA,2020
184,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,55 - 59,PEREMPUAN,48890,JIWA,2020
185,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,60 - 64,LAKI-LAKI,38502,JIWA,2020
186,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,60 - 64,PEREMPUAN,37423,JIWA,2020
187,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,65 - 69,LAKI-LAKI,25693,JIWA,2020
188,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,65 - 69,PEREMPUAN,24861,JIWA,2020
189,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,70 - 74,LAKI-LAKI,16159,JIWA,2020
190,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,70 - 74,PEREMPUAN,17784,JIWA,2020
191,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,75+,LAKI-LAKI,21085,JIWA,2020
192,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,75+,PEREMPUAN,23321,JIWA,2020
193,32,JAWA BARAT,3207,KABUPATEN CIAMIS,00 - 04,LAKI-LAKI,40318,JIWA,2020
194,32,JAWA BARAT,3207,KABUPATEN CIAMIS,00 - 04,PEREMPUAN,37627,JIWA,2020
195,32,JAWA BARAT,3207,KABUPATEN CIAMIS,05 - 09,LAKI-LAKI,48934,JIWA,2020
196,32,JAWA BARAT,3207,KABUPATEN CIAMIS,05 - 09,PEREMPUAN,46014,JIWA,2020
197,32,JAWA BARAT,3207,KABUPATEN CIAMIS,10 - 14,LAKI-LAKI,51777,JIWA,2020
198,32,JAWA BARAT,3207,KABUPATEN CIAMIS,10 - 14,PEREMPUAN,48299,JIWA,2020
199,32,JAWA BARAT,3207,KABUPATEN CIAMIS,15 - 19,LAKI-LAKI,52150,JIWA,2020
200,32,JAWA BARAT,3207,KABUPATEN CIAMIS,15 - 19,PEREMPUAN,49599,JIWA,2020
201,32,JAWA BARAT,3207,KABUPATEN CIAMIS,20 - 24,LAKI-LAKI,53502,JIWA,2020
202,32,JAWA BARAT,3207,KABUPATEN CIAMIS,20 - 24,PEREMPUAN,49654,JIWA,2020
203,32,JAWA BARAT,3207,KABUPATEN CIAMIS,25 - 29,LAKI-LAKI,48462,JIWA,2020
204,32,JAWA BARAT,3207,KABUPATEN CIAMIS,25 - 29,PEREMPUAN,44347,JIWA,2020
205,32,JAWA BARAT,3207,KABUPATEN CIAMIS,30 - 34,LAKI-LAKI,41262,JIWA,2020
206,32,JAWA BARAT,3207,KABUPATEN CIAMIS,30 - 34,PEREMPUAN,39641,JIWA,2020
207,32,JAWA BARAT,3207,KABUPATEN CIAMIS,35 - 39,LAKI-LAKI,44201,JIWA,2020
208,32,JAWA BARAT,3207,KABUPATEN CIAMIS,35 - 39,PEREMPUAN,43754,JIWA,2020
209,32,JAWA BARAT,3207,KABUPATEN CIAMIS,40 - 44,LAKI-LAKI,42623,JIWA,2020
210,32,JAWA BARAT,3207,KABUPATEN CIAMIS,40 - 44,PEREMPUAN,43075,JIWA,2020
211,32,JAWA BARAT,3207,KABUPATEN CIAMIS,45 - 49,LAKI-LAKI,41421,JIWA,2020
212,32,JAWA BARAT,3207,KABUPATEN CIAMIS,45 - 49,PEREMPUAN,43723,JIWA,2020
213,32,JAWA BARAT,3207,KABUPATEN CIAMIS,50 - 54,LAKI-LAKI,39843,JIWA,2020
214,32,JAWA BARAT,3207,KABUPATEN CIAMIS,50 - 54,PEREMPUAN,43165,JIWA,2020
215,32,JAWA BARAT,3207,KABUPATEN CIAMIS,55 - 59,LAKI-LAKI,36322,JIWA,2020
216,32,JAWA BARAT,3207,KABUPATEN CIAMIS,55 - 59,PEREMPUAN,39904,JIWA,2020
217,32,JAWA BARAT,3207,KABUPATEN CIAMIS,60 - 64,LAKI-LAKI,33425,JIWA,2020
218,32,JAWA BARAT,3207,KABUPATEN CIAMIS,60 - 64,PEREMPUAN,34782,JIWA,2020
219,32,JAWA BARAT,3207,KABUPATEN CIAMIS,65 - 69,LAKI-LAKI,24916,JIWA,2020
220,32,JAWA BARAT,3207,KABUPATEN CIAMIS,65 - 69,PEREMPUAN,24419,JIWA,2020
221,32,JAWA BARAT,3207,KABUPATEN CIAMIS,70 - 74,LAKI-LAKI,15766,JIWA,2020
222,32,JAWA BARAT,3207,KABUPATEN CIAMIS,70 - 74,PEREMPUAN,17470,JIWA,2020
223,32,JAWA BARAT,3207,KABUPATEN CIAMIS,75+,LAKI-LAKI,17904,JIWA,2020
224,32,JAWA BARAT,3207,KABUPATEN CIAMIS,75+,PEREMPUAN,21685,JIWA,2020
225,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,00 - 04,LAKI-LAKI,46645,JIWA,2020
226,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,00 - 04,PEREMPUAN,43325,JIWA,2020
227,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,05 - 09,LAKI-LAKI,50790,JIWA,2020
228,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,05 - 09,PEREMPUAN,47879,JIWA,2020
229,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,10 - 14,LAKI-LAKI,51921,JIWA,2020
230,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,10 - 14,PEREMPUAN,47913,JIWA,2020
231,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,15 - 19,LAKI-LAKI,44779,JIWA,2020
232,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,15 - 19,PEREMPUAN,43628,JIWA,2020
233,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,20 - 24,LAKI-LAKI,48899,JIWA,2020
234,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,20 - 24,PEREMPUAN,46809,JIWA,2020
235,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,25 - 29,LAKI-LAKI,46668,JIWA,2020
236,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,25 - 29,PEREMPUAN,42898,JIWA,2020
237,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,30 - 34,LAKI-LAKI,42466,JIWA,2020
238,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,30 - 34,PEREMPUAN,39940,JIWA,2020
